Name,PGC,Ra (en degrees),Dec (en degrees),V_h,e_V_h,Dis,e_Dis_min,e_Dis_max
PGC166163,PGC166163,200.2845,-31.5291,571,3,5.495408738576244,0.24733413607852395,0.25899063479532725
HIPASSJ1348-37,PGC4614882,207.1396,-37.9681,582,6,5.520774392807576,0.17513079883785831,0.18086832999990232
PGC3097113,PGC3097113,207.8286,-46.9735,529,5,5.597576014951097,0.30094157603452487,0.3180403268036409
PGC044982,PGC44982,195.5598,-17.2378,749,2,5.623413251903491,0.17838672347927975,0.18423092330962998
PGC2807065,PGC2807065,116.525,-28.4263,493,7,5.675446054085469,0.230419525661258,0.24017028766926884
ESO137-018,PGC57888,245.2464,-60.4876,606,5,5.72796030985829,0.20718591705071354,0.21496127629743
PGC166152,PGC166152,196.2597,-40.0823,615,2,5.807644175213121,0.3374845462734024,0.35830584340169747
ESO443-009,PGC43978,193.7232,-28.3408,643,4,5.834451042737443,0.28819391315833887,0.30316900891049237
PGC086644,PGC86644,192.9423,21.7357,582,4,5.834451042737443,0.21103779083395224,0.2189577048016833
ESO320-014,PGC36014,174.4716,-39.2206,654,4,5.861381645140288,0.10698227176871633,0.10897122069807885
PGC045084,PGC45084,195.8199,-17.4229,746,2,5.888436553555893,0.23906680543286374,0.24918349809205242
ESO223-009,PGC53639,225.2858,-48.2918,588,2,6.165950018614819,0.056529769559099385,0.057052833076773446
PGC086635,PGC86635,187.0206,22.2908,603,1,6.165950018614819,0.25033367686008035,0.2609271545553753
SDSSJ124936.90+215505.7,PGC4343356,192.4035,21.9178,539,4,6.338697112569274,0.2852883650301372,0.2987335914498237
NGC4455,PGC41066,187.1837,22.8215,643,3,6.456542290346557,0.2621315395787409,0.2732242724966216
PGC2807061,PGC2807061,105.1176,-4.2071,290,4,6.516283940608428,0.2645570128515695,0.2757523855634183
ESO376-016,PGC31961,160.8636,-37.0439,669,6,6.760829753919814,0.3042874635732682,0.31862808992156477
ESO318-013,PGC32250,161.9232,-38.8537,715,7,6.760829753919814,0.12339904990072803,0.1256932095229395
ESO461-036,PGC64054,300.9889,-31.6816,432,6,6.886522963442766,0.2795884833668012,0.2914199492708551
ESO270-017,PGC47847,203.6951,-45.5473,829,4,6.792036326171846,0.15460562215276052,0.15820684971612486
NGC3621,PGC34554,169.5687,-32.814,728,3,6.8233869414167,0.2770252007439451,0.2887481951165949
ESO149-003,PGC72675,358.0122,-52.5774,589,5,6.854882264526615,0.15603617036135287,0.1596707196730991
ESO558-011,PGC20171,106.7376,-22.0396,735,3,7.014552984199714,0.31570689003445196,0.3305856973714407
PGC044681,PGC44681,194.9857,-19.4114,827,2,7.112135136533295,0.2887481951165949,0.3009672764758857
IC4710,PGC61922,277.1581,-66.9822,739,4,7.211074791828994,0.1965218076292805,0.20202762118017326
UGC03755,PGC20445,108.4653,10.5211,314,2,7.516228940182051,0.17109025861090732,0.17507546268404273
AGC174585,PGC5060050,114.0429,9.9864,356,8,7.550922276654341,0.3729793639407202,0.39236007058847466
UGC04115,PGC22277,119.259,14.391,350,6,7.691304402866094,0.1055286525742618,0.10699670236649528
AF7448_001,PGC5067080,344.8981,16.7654,360,6,7.798301105232589,0.6533378444774582,0.7130792767911824
PGC021614,PGC21614,115.632,16.5612,284,4,7.798301105232589,0.10699670236649528,0.10848517476566855
ESO238-005,PGC68672,335.627,-48.404,706,3,7.834296427662114,0.17833035854955614,0.1824842062146761
UGC03974,PGC21600,115.4808,16.8025,272,2,7.979946872679773,0.07316059268151509,0.07383753931089831
ESO495-021,PGC24171,129.0633,-26.4093,859,9,8.053784411990671,0.25548330675808195,0.26385329903604315
PGC1599237,PGC1599237,138.4131,19.6188,444,2,8.128305161640995,0.3300040564084057,0.3439689797649734
NGC4437,PGC41618,188.1895,0.1146,1128,2,8.165823713585919,0.4390178626289032,0.4639617640837823
ALFAZOAJ1952+1428,PGC5060431,298.0491,14.4733,279,6,8.203515443298183,0.5122110404320894,0.5463223089761797
ESO347-017,PGC71464,351.7344,-37.3469,691,3,8.241381150130017,0.2980988028872016,0.30928597871680097
UGC05086,PGC27115,143.2034,21.4657,507,34,8.27942163712334,0.3361392898805242,0.35036384054636116
IC4870,PGC63432,294.4065,-65.8119,877,3,8.317637711026714,0.18933254938571942,0.19374267099705733
ESO496-010,PGC24781,132.2749,-26.3215,809,10,8.394599865193978,0.3036408734101439,0.31503603436682504
PGC086668,PGC86668,135.725,20.0747,484,3,8.629785477669701,0.27375529535722265,0.2827239036677529
NGC4592,PGC42336,189.8281,-0.532,1068,2,8.669618757582173,0.3519810465554585,0.3668759796408452
ESO104-022,PGC62572,283.9215,-64.8114,796,4,8.749837752274363,0.23845737025059144,0.24513806302598873
IC5332,PGC71775,353.6145,-36.1016,705,3,8.790225168308838,0.3956253031148744,0.4142705492228771
NGC2903,PGC27077,143.0421,21.5014,555,2,8.953647655495944,0.36351244044197983,0.37889535247397355
PGC043851,PGC43851,193.4868,-12.1059,823,2,8.953647655495944,0.5590477903019657,0.5962782047184252
IC4951,PGC64181,302.3822,-61.8506,814,3,8.994975815300352,0.561628237657601,0.5990304998589799
PGC040045,PGC40045,185.5317,15.7992,1299,2,9.078205301781855,1.0244208897911982,1.1547246210256912
NGC4600,PGC42447,190.0958,3.1177,852,30,9.078205301781855,0.28798013347301676,0.29741476747694406
PGC086669,PGC86669,139.8764,21.6036,497,6,9.078205301781855,0.4880700867279053,0.5158010133774766
NGC4594,PGC42407,189.9976,-11.623,1087,5,9.120108393559102,0.3298832252502475,0.3422632200988236
NGC6744,PGC62836,287.4413,-63.8577,852,16,9.162204901219992,0.4123671489456413,0.4318014139393398
6dFJ0956376-092911,PGC4078671,149.1567,-9.4863,621,41,9.162204901219992,0.4525690016591888,0.4760853350197056
NGC3384,PGC32292,162.0705,12.6294,563,6,9.204495717531715,0.08438732397261361,0.08516815026764668
PGC041395,PGC41395,187.7652,1.6758,1105,4,9.204495717531715,0.5747102398620143,0.6129837126681341
NGC7090,PGC67045,324.1205,-54.5576,851,4,9.289663867799362,0.25316913057634416,0.2602619924149927
PGC2806961,PGC2806961,137.2236,14.5829,318,6,9.3756200692588,0.46311068792134513,0.4871747870533003
AGC174605,PGC5060076,117.5904,7.7944,351,8,9.3756200692588,0.17112435172708373,0.17430579095555565
PGC043072,PGC43072,191.5638,10.2055,1136,2,9.418895965228417,0.9075155832046455,1.0042783287046237
PGC083339,PGC83339,161.7369,12.9992,832,4,9.418895965228417,0.5473358448487993,0.5811040347715828
ESO104-044,PGC62869,287.8461,-64.219,776,8,9.506047936562817,0.7562101842884541,0.8215661210511573
PGC3097708,PGC3097708,189.3995,-8.8671,1105,5,9.549925860214355,0.429817466655269,0.45007413978564514
PGC042120,PGC42120,189.3085,-10.4979,756,8,9.594006315159332,0.3043424473599696,0.314313133768346
PGC4689210,PGC4689210,161.7216,12.7444,640,5,9.594006315159332,0.9642208374896306,1.0719548971432467
PGC029033,PGC29033,150.4092,-8.2485,446,3,9.727472237769655,1.097686760099954,1.2373097236622073
NGC3351,PGC32007,160.9904,11.7035,778,2,9.727472237769655,0.13346592261032342,0.1353226185424603
AGC205315,PGC5057800,162.4683,12.5392,779,8,10.0,0.4939520634371828,0.5196187382322233
UGC05797,PGC31693,159.855,1.7185,707,2,10.185913880541165,0.9814181630094492,1.0860606812139295
NGC3377,PGC32249,161.9265,13.9856,684,11,10.185913880541165,0.09338501977432045,0.09424910072356596
UGC05456,PGC29428,151.8324,10.362,542,3,10.28016298126473,0.9904991134653685,1.0961098769695674
ESO572-034,PGC37727,179.742,-19.0299,1114,4,10.28016298126473,0.3718435323370528,0.38579823103783184
AGC229385,PGC5809449,188.0429,20.4233,1348,4,10.616955571987242,0.9341770093747517,1.0243047221176607
NGC3368,PGC32192,161.6904,11.8198,892,2,10.91440336448757,0.44311788397856944,0.4618694937467449
NGC3627,PGC34695,170.0625,12.991,721,2,11.015393095414156,0.49577435718193286,0.5191394827967795
NGC3379,PGC32256,161.9566,12.5816,908,6,11.066237839776658,0.1014558783448134,0.102394638028942
UGC05288,PGC28378,147.8208,7.8283,554,12,11.27197456175511,0.6550189897678518,0.6954307513173266
UGC07512,PGC40563,186.4212,2.1593,1505,2,11.587773561551263,0.4191410837456395,0.43487078462285567
NGC2835,PGC26259,139.4703,-22.3546,887,2,11.857687481671608,0.8929055202397631,0.9656183448886235
NGC5398,PGC49923,210.34,-33.0637,1219,3,12.13388850464978,1.0676506648731046,1.1706556751311332
NGC5643,PGC51969,218.1696,-44.1745,1189,14,12.13388850464978,0.5993559264388448,0.6304995834636671
NGC4328,PGC40209,185.8333,15.8205,479,10,14.521116175877413,1.5194203955445076,1.6969847977118668
NGC4298,PGC39950,185.3867,14.6061,1129,5,14.521116175877413,1.2777008239307701,1.4009710946342704
NGC4413,PGC40705,186.6342,12.6106,95,4,14.723125024327187,0.2687273168679063,0.273723330696539
Tucana,PGC69519,340.4580,-64.4206,194.0,4.0,0.899497,0.0164176811,0.0167229086
DDO187,PGC50961,213.9854,23.0556,152.0,2.0,2.249054606,0.041049873,0.041813047
