Name,PGC,RA,Dec,Dis,e_dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
ESO443-009,PGC43978,193.7232,-28.3408,5.834451042737443,0.2881939131583388,0.3031690089104923,CF4,643.0,4.0,LEDA,,
ESO444-078,PGC48029,204.1284,-29.2354,5.2966344389165805,0.0726725489253832,0.0736835247859524,CF4,572.0,2.0,LEDA,,
ESO461-036,PGC64054,300.9889,-31.6816,6.886522963442766,0.2795884833668012,0.2914199492708551,CF4,432.0,6.0,LEDA,,
ESO471-006,PGC72228,355.9379,-31.9593,4.265795188015924,0.1542979769707004,0.1600885356103356,CF4,269.0,9.0,LEDA,,
ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,859.0,9.0,LEDA,,
ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,809.0,10.0,LEDA,,
ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,735.0,3.0,LEDA,,
ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.3857982310378318,CF4,1114.0,4.0,LEDA,,
ESO594-004,PGC63287,292.4959,-17.679,1.056817509213659,0.0382261211595407,0.0396606869295257,CF4,-79.0,3.0,LEDA,,
HIPASSJ1247-77,PGC3994669,191.8908,-77.5826,3.388441561392023,0.2551558370764417,0.2759341850863102,CF4,413.0,4.0,LEDA,,
HIPASSJ1348-37,PGC4614882,207.1396,-37.9681,5.520774392807576,0.1751307988378583,0.1808683299999023,CF4,582.0,6.0,LEDA,,
IC3104,PGC39573,184.692,-79.7259,2.301441817408507,0.0210997454080899,0.0212949789485978,CF4,429.0,4.0,LEDA,,
IC4247,PGC47073,201.6852,-30.3625,5.05824662003114,0.0923234055277779,0.0940398257864219,CF4,420.0,8.0,LEDA,,
IC4316,PGC48368,205.0761,-28.8942,4.24619563946313,0.0775018047597724,0.0789426708869562,CF4,578.0,3.0,LEDA,,
IC4662,PGC60849,266.7892,-64.6391,2.4888573182823914,0.0228179810480511,0.0230291132271887,CF4,306.0,3.0,LEDA,,
IC4710,PGC61922,277.1581,-66.9822,7.211074791828994,0.1965218076292805,0.2020276211801732,CF4,739.0,4.0,LEDA,,
IC4870,PGC63432,294.4065,-65.8119,8.317637711026714,0.1893325493857194,0.1937426709970573,CF4,877.0,3.0,LEDA,,
IC4951,PGC64181,302.3822,-61.8506,8.994975815300352,0.561628237657601,0.5990304998589799,CF4,814.0,3.0,LEDA,,
IC5052,PGC65603,313.0212,-69.2014,5.370317963702524,0.1463560737113267,0.1504564291050423,CF4,589.0,3.0,LEDA,,
IC5152,PGC67908,330.6723,-51.2966,1.914255925021086,0.0349391082178167,0.0355886747369587,CF4,124.0,2.0,LEDA,,
IC5332,PGC71775,353.6145,-36.1016,8.790225168308838,0.3956253031148744,0.4142705492228771,CF4,705.0,3.0,LEDA,,
KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,753.0,4.0,-7,stars,dSph
KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,741.0,15.0,-11,stars,dIrr
KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,643.0,3.0,-7,stars,dSph
KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,306.0,10.0,-7,stars,Tr
KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,600.0,31.0,-14,stars,Sph
KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,507.0,13.0,-14,stars,dIrr
KKs54,PGC2815821,200.3829,-31.8864,3.75,0.1,0.1,-10,621.0,11.0,-7,stars,Tr
KKs55,PGC2815822,200.55,-42.7311,3.85,0.07,0.07,-1,530.0,14.0,-7,stars,Sph
KKs57,PGC2815823,205.4079,-42.5797,3.84,0.47,0.47,-1,511.0,17.0,-7,stars,Sph
KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,477.0,5.0,-7,stars,dSph
NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,887.0,2.0,LEDA,,
NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,555.0,2.0,LEDA,,
NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,465.0,3.0,LEDA,,
NGC3109,PGC29128,150.7786,-26.1595,1.3061708881318403,0.0530297131904253,0.0552737943341083,CF4,403.0,2.0,LEDA,,
NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.1334659226103234,0.1353226185424603,CF4,778.0,2.0,LEDA,,
NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.4431178839785694,0.4618694937467449,CF4,892.0,2.0,LEDA,,
NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.0933850197743204,0.0942491007235659,CF4,684.0,11.0,LEDA,,
