Name,PGC,RA,Dec,Dis,e_Dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
PGC2807061,PGC2807061,105.1176,-4.2071,6.516283940608428,0.2645570128515695,0.2757523855634183,-1,290.0,4.0,-1,TRGB,Gxy
PGC029653,PGC29653,152.7533,-4.6928,1.4125375446227544,0.05109286215680342,0.053010296333156015,-1,324.0,1.0,-1,TRGB,Gxy
PGC029033,PGC29033,150.4092,-8.2485,9.727472237769655,1.097686760099954,1.2373097236622073,-1,446.0,3.0,-1,TRGB,Gxy
PGC3097708,PGC3097708,189.3995,-8.8671,9.549925860214355,0.429817466655269,0.45007413978564514,-1,1105.0,5.0,-1,TRGB,Gxy
6dFJ0956376-092911,PGC4078671,149.1567,-9.4863,9.162204901219992,0.4525690016591888,0.4760853350197056,-1,621.0,41.0,-1,TRGB,Gxy
PGC042120,PGC42120,189.3086,-10.4979,9.594006315159332,0.3043424473599696,0.314313133768346,-1,756.0,8.0,-1,TRGB,Gxy
NGC4594,PGC42407,189.9977,-11.623,9.120108393559102,0.3298832252502475,0.3422632200988236,-1,1087.0,5.0,-1,TRGB,Gxy
PGC043851,PGC43851,193.4868,-12.1059,8.953647655495944,0.5590477903019657,0.5962782047184252,-1,823.0,2.0,-1,TRGB,Gxy
PGC044982,PGC44982,195.5598,-17.2378,5.623413251903491,0.17838672347927975,0.18423092330962998,-1,749.0,2.0,-1,TRGB,Gxy
ESO594-004,PGC63287,292.4959,-17.679,1.056817509213659,0.038226121159540716,0.039660686929525735,-1,-79.0,3.0,-1,TRGB,Gxy
NGC4038,PGC37967,180.4709,-18.868,21.57744409152668,1.3472523047439502,1.4369740825584323,-1,1632.0,6.0,-1,TRGB,Gxy
ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.38579823103783184,-1,1114.0,4.0,-1,TRGB,Gxy
PGC044681,PGC44681,194.9857,-19.4114,7.112135136533295,0.2887481951165949,0.3009672764758857,-1,827.0,2.0,-1,TRGB,Gxy
NGC5068,PGC46400,199.7295,-21.0392,5.035006087879052,0.20441806748132052,0.21306851461867815,-1,671.0,2.0,-1,TRGB,Gxy
ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.31570689003445196,0.3305856973714407,-1,735.0,3.0,-1,TRGB,Gxy
