Name,PGC,Ra (en degrees),Dec (en degrees),V_h,e_V_h,Dis,e_Dis
PGC086635,PGC86635,187.0206,22.2908,603,1,6.165950018614819,0.2555572427461591
SDSSJ124936.90+215505.7,PGC4343356,192.4035,21.9178,539,4,6.338697112569274,0.29190778960812824
NGC4455,PGC41066,187.1837,22.8215,643,3,6.456542290346557,0.2676012845406771
PGC2807061,PGC2807061,105.1176,-4.2071,290,4,6.516283940608428,0.27007736874050636
ESO376-016,PGC31961,160.8636,-37.0439,669,6,6.760829753919814,0.3113477161529274
ESO318-013,PGC32250,161.9232,-38.8537,715,7,6.760829753919814,0.12453908646117094
ESO461-036,PGC64054,300.9889,-31.6816,432,6,6.886522963442766,0.2854224921273209
ESO270-017,PGC47847,203.6951,-45.5473,829,4,6.792036326171846,0.1563924159571734
NGC3621,PGC34554,169.5687,-32.814,728,3,6.8233869414167,0.28280572299065393
ESO149-003,PGC72675,358.0122,-52.5774,589,5,6.854882264526615,0.15783949716528253
ESO558-011,PGC20171,106.7376,-22.0396,735,3,7.014552984199714,0.32303210270870325
PGC044681,PGC44681,194.9857,-19.4114,827,2,7.112135136533295,0.2947733342053333
IC4710,PGC61922,277.1581,-66.9822,739,4,7.211074791828994,0.199249359841567
UGC03755,PGC20445,108.4653,10.5211,314,2,7.516228940182051,0.17306756713193627
AGC174585,PGC5060050,114.0429,9.9864,356,8,7.550922276654341,0.3825061035967809
UGC04115,PGC22277,119.259,14.391,350,6,7.691304402866094,0.10625929718231364
AF7448_001,PGC5067080,344.8981,16.7654,360,6,7.798301105232589,0.682337571272327
PGC021614,PGC21614,115.632,16.5612,284,4,7.798301105232589,0.1077375112535253
ESO238-005,PGC68672,335.627,-48.404,706,3,7.834296427662114,0.18039134168431292
UGC03974,PGC21600,115.4808,16.8025,272,2,7.979946872679773,0.0734980268476676
ESO495-021,PGC24171,129.0633,-26.4093,859,9,8.053784411990671,0.25962333500932555
PGC1599237,PGC1599237,138.4131,19.6188,444,2,8.128305161640995,0.33689005733702004
NGC4437,PGC41618,188.1895,0.1146,1128,2,8.165823713585919,0.4512600949180852
ALFAZOAJ1952+1428,PGC5060431,298.0491,14.4733,279,6,8.203515443298183,0.5289001863567755
ESO347-017,PGC71464,351.7344,-37.3469,691,3,8.241381150130017,0.30362370211154405
UGC05086,PGC27115,143.2034,21.4657,507,34,8.27942163712334,0.3431533111245461
IC4870,PGC63432,294.4065,-65.8119,877,3,8.317637711026714,0.19152068602335232
ESO496-010,PGC24781,132.2749,-26.3215,809,10,8.394599865193978,0.3092684881799277
PGC086668,PGC86668,135.725,20.0747,484,3,8.629785477669701,0.2781914155526626
NGC4592,PGC42336,189.8281,-0.532,1068,2,8.669618757582173,0.3593256284367049
ESO104-022,PGC62572,283.9215,-64.8114,796,4,8.749837752274363,0.2417669516940417
IC5332,PGC71775,353.6145,-36.1016,705,3,8.790225168308838,0.40480482873218016
NGC2903,PGC27077,143.0421,21.5014,555,2,8.953647655495944,0.3710976411503889
PGC043851,PGC43851,193.4868,-12.1059,823,2,8.953647655495944,0.5772629973450495
IC4951,PGC64181,302.3822,-61.8506,814,3,8.994975815300352,0.5799275222762715
PGC040045,PGC40045,185.5317,15.7992,1299,2,9.078205301781855,1.0869736903491654
NGC4600,PGC42447,190.0958,3.1177,852,30,9.078205301781855,0.2926467627863138
PGC086669,PGC86669,139.8764,21.6036,497,6,9.078205301781855,0.5016801647765379
NGC4594,PGC42407,189.9976,-11.623,1087,5,9.120108393559102,0.335997210135985
NGC6744,PGC62836,287.4413,-63.8577,852,16,9.162204901219992,0.42193512849012277
6dFJ0956376-092911,PGC4078671,149.1567,-9.4863,621,41,9.162204901219992,0.46412864133913506
NGC3384,PGC32292,162.0705,12.6294,563,6,9.204495717531715,0.08477653851086425
PGC041395,PGC41395,187.7652,1.6758,1105,4,9.204495717531715,0.5934357695760498
NGC7090,PGC67045,324.1205,-54.5576,851,4,9.289663867799362,0.25668289849104264
PGC2806961,PGC2806961,137.2236,14.5829,318,6,9.3756200692588,0.4749395861991245
AGC174605,PGC5060076,117.5904,7.7944,351,8,9.3756200692588,0.17270530407240892
PGC043072,PGC43072,191.5638,10.2055,1136,2,9.418895965228417,0.9542636154478555
PGC083339,PGC83339,161.7369,12.9992,832,4,9.418895965228417,0.5638830454919147
ESO104-044,PGC62869,287.8461,-64.219,776,8,9.506047936562817,0.7879854337925886
PGC3097708,PGC3097708,189.3995,-8.8671,1105,5,9.549925860214355,0.43979033849855825
PGC042120,PGC42120,189.3085,-10.4979,756,8,9.594006315159332,0.3092742229272726
PGC4689210,PGC4689210,161.7216,12.7444,640,5,9.594006315159332,1.0161867324753242
PGC029033,PGC29033,150.4092,-8.2485,446,3,9.727472237769655,1.1647132934944957
NGC3351,PGC32007,160.9904,11.7035,778,2,9.727472237769655,0.13438999540321106
AGC205315,PGC5057800,162.4683,12.5392,779,8,10.0,0.5065687204586901
UGC05797,PGC31693,159.855,1.7185,707,2,10.185913880541165,1.0319730722336298
NGC3377,PGC32249,161.9265,13.9856,684,11,10.185913880541165,0.09381573383942088
UGC05456,PGC29428,151.8324,10.362,542,3,10.28016298126473,1.0415218015052137
ESO572-034,PGC37727,179.742,-19.0299,1114,4,10.28016298126473,0.3787352005473504
AGC229385,PGC5809449,188.0429,20.4233,1348,4,10.616955571987242,0.977857745321516
NGC3368,PGC32192,161.6904,11.8198,892,2,10.91440336448757,0.4523641647478765
NGC3627,PGC34695,170.0625,12.991,721,2,11.015393095414156,0.5072775986994035
NGC3379,PGC32256,161.9566,12.5816,908,6,11.066237839776658,0.10192381714158547
UGC05288,PGC28378,147.8208,7.8283,554,12,11.27197456175511,0.6748216954571407
UGC07512,PGC40563,186.4212,2.1593,1505,2,11.587773561551263,0.42690935462109536
NGC2835,PGC26259,139.4703,-22.3546,887,2,11.857687481671608,0.9283133707110912
NGC5398,PGC49923,210.34,-33.0637,1219,3,12.13388850464978,1.117572431634336
NGC5643,PGC51969,218.1696,-44.1745,1189,14,12.13388850464978,0.6146648373988848
NGC4328,PGC40209,185.8333,15.8205,479,10,14.521116175877413,1.6049330707300817
NGC4298,PGC39950,185.3867,14.6061,1129,5,14.521116175877413,1.3374442256084016
NGC4413,PGC40705,186.6342,12.6106,95,4,14.723125024327187,0.27120998562642706
