Unnamed: 0,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.84,angular_distance_CoM_CenA_M83_0.84,dis_center_CoM_CenA_M83_0.84,e_dis_center_min_CoM_CenA_M83_0.84,e_dis_center_max_CoM_CenA_M83_0.84,major_infall_velocity_CoM_CenA_M83_0.84,e_major_infall_velocity_min_CoM_CenA_M83_0.84,e_major_infall_velocity_max_CoM_CenA_M83_0.84,minor_infall_velocity_CoM_CenA_M83_0.84,e_minor_infall_velocity_min_CoM_CenA_M83_0.84,e_minor_infall_velocity_max_CoM_CenA_M83_0.84
119,PGC021614,PGC21614,115.632,16.5612,7.798301105232589,0.1069967023664952,0.1084851747656685,CF4,172.84758687488682,4.0,LEDA,,,4.0,2.018159120666083,0.0050448300125716,0.064139189140451,1.5066130796979478,8.447841242164735,0.1225757938568588,0.1244376882767035,753.3291228629168,46.111977702054055,46.6450161855595,272.9329143182164,8.317211223838285,8.409321180600443
158,UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,222.34111983350223,6.0,LEDA,,,6.0,2.081462212635917,0.0043837492881505,0.127143834739647,1.4433074174325804,8.12960442278238,0.1174605623100095,0.1192396247704508,798.5122825787325,60.75690745796667,61.47174297851553,302.28837672382303,9.71708148192738,9.776907485695745
50,ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,571.9098072004841,9.0,LEDA,,,9.0,2.2525795284891976,-0.0080447328243731,0.2943179319754212,1.2720545652149071,7.8263265032241875,0.2388719301569297,0.2468639952021423,750.5927631980046,220.30278026001696,225.6208151515314,562.1405715745286,9.89656316587832,9.65788131974125
51,ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,519.3701878521875,10.0,LEDA,,,10.0,2.3086325227462474,-0.0080179874149158,0.3473931905549952,1.2160066054018936,7.919787813898891,0.2787102642390158,0.2896439207155818,1125.6525827549226,611.0694150593547,629.8126035579276,497.6767575981303,11.445662720937603,11.236183310215267
77,NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,602.0549205496354,2.0,LEDA,,,2.0,2.434215943744248,-0.0068096005723639,0.4620903590782874,1.0904454657487876,10.65110278949381,0.852256494540903,0.933344361501666,-163.47537541506136,157.7012424565236,167.8851251971562,523.0115792549428,6.764256191265417,6.158191412457086
79,NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,188.9964952055664,3.0,LEDA,,,3.0,2.470501338893209,-0.0233417362555442,0.4940359792789031,1.0540706265285884,4.026086303545263,0.0625380449517685,0.0636084124811384,494.0425303680847,70.23859061516761,71.16949755700583,238.5629570299224,7.329624421396687,7.30255075117239
78,NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,442.0650859129727,2.0,LEDA,,,2.0,2.496555613966981,0.0065497009898019,0.5162743896841079,1.0283013065419393,7.713507278319937,0.3340821535162854,0.3544888529339252,-701.108700790743,580.0732945804567,606.4818107916782,368.1386873097372,6.009100890826346,5.558661034224656
159,UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,393.8593716230236,34.0,LEDA,,,34.0,2.499370830050448,0.0065388261479155,0.5186830716955916,1.0254864242897412,7.096796185432429,0.3004759647325974,0.320250779818986,-1396.9314579147842,1933.690240101292,2019.5240115492625,328.7316454691318,35.240360060596004,33.828115220556754
143,PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.4631106879213451,0.4871747870533003,CF4,172.26569695583245,6.0,LEDA,,,6.0,2.3950036314396907,0.0044422053710075,0.4268393452165561,1.129801478023819,8.481355322411481,0.4215255464392076,0.4514027115913706,-9100.344021023844,27995.84184873933,29646.66115880816,149.88872302118423,12.899440197981392,12.857232170649269
144,PGC2807061,PGC2807061,105.1176,-4.2071,6.516283940608428,0.2645570128515695,0.2757523855634183,CF4,110.49003755469128,4.0,LEDA,,,4.0,1.834648221794392,-0.0012815559467846,-0.1189524553883581,1.6900311068946654,7.916655737854507,0.2723391942073707,0.2835733653834538,550.6581417706295,41.2133218386424,42.310618982292006,272.518685369261,11.149319334779648,11.239233839192252
145,PGC2807065,PGC2807065,116.525,-28.4263,5.675446054085469,0.230419525661258,0.2401702876692688,CF4,217.6799985617667,7.0,LEDA,,,7.0,2.0337449108863925,-0.0086591461600829,0.0798495494471392,1.4908616801655896,6.566516696523178,0.2232203972856563,0.2327108990350277,564.9090181066261,50.91544578660076,52.30360452176031,332.54501147098466,12.591607829418024,12.433584051765251
146,PGC2807150,PGC2807150,208.6396,4.2444,2.5468302525850426,0.2873944823640655,0.3239503294396515,CF4,206.5365849826047,3.0,LEDA,,,3.0,3.641447970043961,0.0012929181765427,0.9931013856175508,0.117529237382787,1.2926323341076864,0.3627501811086501,0.3424671581187923,101.82198304394066,180.7799632731157,175.79923095411408,101.98236224202762,8.513421975915918,8.043953010103678
73,KKs54,PGC2815821,200.3829,-31.8864,3.75,0.1,0.1,-10,393.991542422248,11.0,-7,stars,Tr,11.0,3.4973413696945457,-0.0097131528942869,0.999622365831436,0.0274830107115428,0.1099491261933899,0.0077855603489621,0.1216194843656455,-257.140831579401,4759.901702937929,57095.56589340269,-21.118063443856133,69.62007650455412,110.53815684216126
74,KKs55,PGC2815822,200.55,-42.7311,3.85,0.07,0.07,-1,282.3448050687075,14.0,-7,stars,Sph,14.0,3.500257814874628,-0.0130166374266478,0.9997009867936396,0.0244551879580394,0.1126844297362129,0.0202482271827476,0.1100366687436716,-39.884510641596925,1008.5197451060512,4928.020143080041,-6.277439287055509,28.154860334505564,37.99221252849119
75,KKs57,PGC2815823,205.4079,-42.5797,3.84,0.47,0.47,-1,274.8249519203368,17.0,-7,stars,Sph,17.0,3.5850441646072606,-0.0129705183492921,0.9981801696297716,0.0603387537492982,0.2361024570993453,0.0102082350605675,0.4034554890940526,-152.9350457359159,2993.739744517125,45111.703080304935,10.425887280916587,51.787950162427535,43.74635442741479
76,KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,255.9270951543958,5.0,-7,stars,dSph,5.0,3.6041590105751022,-0.0110664157816893,0.9968448143654224,0.079458746924615,0.5124025868619806,0.1281773290442904,0.1480283384479321,57.455623946047794,268.7092675287819,305.18387945281955,52.46368726546639,10.584358407323208,9.994309464899407
160,UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,CF4,374.551093721425,12.0,LEDA,,,12.0,2.579959662932034,0.0023846365473162,0.5858744978150586,0.9448375977548344,9.559330747831128,0.6367788621958894,0.6830786424472972,-287.55349656103505,158.92991684357892,166.615136738291,265.0858926154157,18.112577052381823,17.832461998465874
161,UGC05373,PGC28913,150.0001,5.3322,1.3995873225726183,0.0192030579697339,0.0194701991164747,CF4,111.89936479366617,2.0,LEDA,,,2.0,2.617995623320746,0.0016242810057866,0.6162735056750827,0.9067942975074044,3.125215066392193,0.0702089185518128,0.0719252065309237,251.3711723659353,22.98326829719337,23.327376624153025,251.1839739058382,5.680375625975046,5.648006602754805
120,PGC029033,PGC29033,150.4092,-8.2485,9.727472237769655,1.097686760099954,1.2373097236622073,CF4,202.2069340048077,3.0,LEDA,,,3.0,2.625135765290655,-0.0025126367871106,0.6219297565238053,0.8995916901685037,7.946333543681663,1.0219816342031196,1.1828931755849394,-626.5415333009253,583.8151968615376,663.3656385380349,100.97779483463826,17.3335527217464,18.520826491471155
80,NGC3109,PGC29128,150.7786,-26.1595,1.3061708881318403,0.0530297131904253,0.0552737943341083,CF4,109.57324371604147,2.0,LEDA,,,2.0,2.6315830115475225,-0.0079686393929104,0.6270141322397615,0.8930819662344012,3.137511683457248,0.0833107431418267,0.0854885985931526,248.9292927532352,25.83691496264948,26.330882477150944,250.43047005358048,5.993920451374322,5.752402743525607
121,PGC029194,PGC29194,151.0165,-27.332,1.3365955165464416,0.0601567077350992,0.0629918060261767,CF4,65.34599654157512,3.0,LEDA,,,3.0,2.6357351498380166,-0.0083258033176103,0.630245580523053,0.8889268474304389,3.12204876624186,0.0852744108627496,0.0876470572572105,278.8495560606064,29.79947127177908,30.423567185195363,264.90543971602136,7.106816959290484,7.081779875624818
162,UGC05456,PGC29428,151.8324,10.362,10.28016298126473,0.9904991134653685,1.0961098769695674,CF4,375.3594626295077,3.0,LEDA,,,3.0,2.6499752912050387,0.0031564457038298,0.6411143058906683,0.8748469725394059,8.372881303772067,0.9411707951325524,1.0616411813703213,-189.71702949154567,148.32624533211643,163.09780921598562,250.1613506631741,12.553764257787634,12.51169039997734
122,PGC029653,PGC29653,152.7533,-4.6928,1.4125375446227544,0.0510928621568034,0.053010296333156,CF4,94.03202720967798,1.0,LEDA,,,1.0,2.6660480282866543,-0.001429508627575,0.6534226777241798,0.8586992525491483,3.057042102805918,0.0822627712599413,0.0845562723352379,259.10315688292013,27.1601333322454,27.70944731698148,252.30120161425805,5.82764385289542,5.785709745783663
147,PGC3097113,PGC3097113,207.8286,-46.9735,5.597576014951097,0.3009415760345248,0.3180403268036409,CF4,291.28721398120115,5.0,LEDA,,,5.0,3.6272933498102873,-0.0143089463683509,0.9947412736853792,0.1025996279006992,1.8712056435782525,0.3591056760332201,0.3786287191383017,-15.152374787959229,29.262984173632624,30.24891045651796,-4.589591433935701,11.356973907764054,11.658668712204516
148,PGC3097708,PGC3097708,189.3995,-8.8671,9.549925860214357,0.429817466655269,0.4500741397856451,CF4,917.490311350293,5.0,LEDA,,,5.0,3.305644876631,-0.0027010731229907,0.9760581246002676,0.2192625168471514,5.91133781505872,0.4908914625346421,0.5109973929326932,631.6247298751497,190.93989602077545,198.43139111660363,623.7586728560398,10.331182591129732,10.230127397966273
163,UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,CF4,507.48760181177454,2.0,LEDA,,,2.0,2.789996075775535,0.0005234850359034,0.7419637076601349,0.7348017128107209,7.8008778722931025,0.951413887353258,1.0700116083451665,149.6976082433481,100.7427023255103,110.7233783284147,332.8282344439565,9.808003587418796,9.287707846365834
37,ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.3186280899215647,CF4,364.46306419038063,6.0,LEDA,,,6.0,2.8075994666111503,-0.0112842172368368,0.7537453529107839,0.7170534799445828,4.631815063407815,0.2704124319668102,0.2939972736599383,-104.26456705545168,100.04930425414832,104.6153109995742,221.42106139793484,11.855201362084188,10.895039449987934
81,NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.1334659226103234,0.1353226185424603,CF4,624.0546821630431,2.0,LEDA,,,2.0,2.809812544102679,0.0035650899724737,0.7550584387036946,0.7150530819395245,7.303153103593767,0.1590222507593175,0.1616996813991607,342.83345319324354,53.830311552247686,54.48249011966569,438.69410437380606,5.374675765816278,5.1622846757464345
82,NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.4431178839785694,0.4618694937467449,CF4,739.3049155288525,2.0,LEDA,,,2.0,2.82202984886664,0.0036005169783949,0.7630095767964169,0.7028399230527113,8.389967767848404,0.4597110651397065,0.4812889018888686,480.2383141152197,125.99491969096285,130.9391893851254,542.5102092098546,5.9232268452825565,5.491017672004773
83,NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.0933850197743204,0.0942491007235659,CF4,541.8622481604492,11.0,LEDA,,,11.0,2.826150571230598,0.0042602573861689,0.7656558364195949,0.6987360479007221,7.682833459066813,0.1248075829857207,0.1259931703437127,211.9891348615645,43.76844345515768,43.96578431187213,355.06207398954314,14.341958924984851,14.149231431863882
29,ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.123399049900728,0.1256932095229395,CF4,409.4999110311934,7.0,LEDA,,,7.0,2.8260929753652824,-0.0118355138431668,0.7657700326929239,0.6985584991058343,4.564863778121206,0.1238278619567339,0.129247966398827,30.875269628775616,44.23229810733334,44.53622130671248,253.70741807638484,9.919450506711913,9.30385966304084
84,NGC3379,PGC32256,161.9566,12.5816,11.066237839776658,0.1014558783448134,0.102394638028942,CF4,759.1833558135661,6.0,LEDA,,,6.0,2.8266759153354486,0.0038325745287884,0.766000141205008,0.698200619510636,8.520615497543748,0.1355264805268596,0.1366150414793079,503.9086085420213,54.82582549417198,55.20953445075472,560.1159796401355,9.162368800583296,8.992039519614991
85,NGC3384,PGC32292,162.0705,12.6294,9.204495717531715,0.0843873239726136,0.0851681502676466,CF4,414.5289015306474,6.0,LEDA,,,6.0,2.82866384535347,0.0038471352414542,0.767275958318443,0.6962136098090661,6.750858386589516,0.1122675139818749,0.1136134353858828,28.60507088863067,23.28035409984308,23.31570080069763,239.19033212983985,9.860669318948595,9.698573375439224
86,NGC3621,PGC34554,169.5687,-32.814,6.8233869414167,0.2770252007439451,0.2887481951165949,CF4,438.1185984775583,3.0,LEDA,,,3.0,2.959532123326509,-0.009995716012881,0.8445132483917248,0.5651407199177014,4.153981064559986,0.2702464339481403,0.2894596206270785,138.3971964510872,81.35366999538287,85.23153500578267,237.697659089888,8.125664232660455,7.265969967852783
87,NGC3627,PGC34695,170.0625,12.991,11.015393095414156,0.4957743571819328,0.5191394827967795,CF4,584.4903960939342,2.0,LEDA,,,2.0,2.9681505591728565,0.0039572849004491,0.8489611519975534,0.5567799683630731,8.053060811101389,0.526868027152342,0.552487577205218,277.899722190858,77.61300433399454,80.75518546723073,355.96565078991824,7.359875818609169,7.169517651058641
30,ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.1069822717687163,0.1089712206980788,CF4,362.1827864744439,4.0,LEDA,,,4.0,3.0451038712225387,-0.0119472779744865,0.8871958587821537,0.4795646835916393,3.051412286443869,0.1177141163380652,0.1237665042529401,37.02441916357457,32.6153532018724,33.16224434287473,156.04686812957047,8.572657734190102,7.9431640989662355
38,ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.1687961468503775,0.1743261459083047,CF4,364.5552165369644,3.0,LEDA,,,3.0,3.118550816804964,-0.0102225950671381,0.9186555193182212,0.4061326576892227,2.373165699461097,0.1572721495183482,0.1731634614422672,66.20002603434085,65.52296035335986,69.39742562905693,141.83047891045564,8.235213071400665,6.902595479791728
53,ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.3857982310378318,CF4,871.5065883944192,4.0,LEDA,,,4.0,3.1370897041196475,-0.005796839036799,0.9257990409316084,0.3876523993097587,6.923834541158199,0.4210486213137532,0.4356351194538099,607.3424003432259,140.51117474387434,144.98722686150148,600.9254669875146,8.545397453495298,8.484886341937113
39,ESO379-024,PGC38252,181.2362,-35.7431,5.345643593969718,0.2405935942156567,0.2519324209813893,CF4,355.49713053756994,6.0,LEDA,,,6.0,3.163168413802947,-0.0108879708971783,0.9353623733408164,0.3615140981716776,2.246463846547477,0.2210120090632066,0.2483097031163246,52.476276166130525,70.43483520377202,75.56770415784663,121.1286721562554,12.46329604587595,10.663952449362084
31,ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,CF4,334.83817945052454,3.0,LEDA,,,3.0,3.201930431160489,-0.0116458285758656,0.9483663767849484,0.3227512455278001,1.248459853631519,0.0629948335865477,0.0944255214322433,-23.71364521516784,33.23436778154854,39.32460231637049,80.174586113469,16.271534057587424,13.5535332640101
57,IC3104,PGC39573,184.692,-79.7259,2.301441817408507,0.0210997454080899,0.0212949789485978,CF4,170.2163054273379,4.0,LEDA,,,4.0,3.223483502093367,-0.0242858979481731,0.9549197986575234,0.3014068250349994,1.7298657093197296,0.0791851043977565,0.0812064445701297,154.16996353833335,45.22861271314716,46.04976779245598,150.07874609433233,8.128193017520317,8.249185321375649
55,HIPASSJ1247-77,PGC3994669,191.8908,-77.5826,3.388441561392023,0.2551558370764417,0.2759341850863102,CF4,153.80087704155716,4.0,LEDA,,,4.0,3.349126264285935,-0.0236330114323442,0.9845669217615228,0.1759144057494868,0.7448854907790989,0.0942286927602591,0.2023786763390305,252.41552530118787,699.3134629479227,1290.5976373816045,113.86763317767527,62.45237469973908,33.446313969829845
88,NGC4298,PGC39950,185.3867,14.6061,14.521116175877411,1.27770082393077,1.4009710946342704,CF4,1029.6399299357238,5.0,LEDA,,,5.0,3.235608304406972,0.0044492724951466,0.9583653098744662,0.2895750307791923,10.945406542410833,1.3354038440164846,1.4591901663257438,737.5651107935292,262.43292252831435,285.7067438174424,743.095186893374,10.213346925214296,10.016164459442052
