,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
16,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,615.0,2.0,LEDA,,,3.4253779539763154,-0.01220976680511679,0.994618141674049,0.10379491958569755,1.928207894391362,0.3835818703405627,0.40809272876593483,70.87345725698066,100.6809078787521,106.27784614554834,83.85600523855364,11.406616747146117,11.604638960277768
17,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,753.0,4.0,-7,stars,dSph,3.459038373930278,-0.012742755904517594,0.997541130640608,0.07014096796783095,0.3900898068641617,0.10573949224936485,0.18281245543759772,316.1256106973582,3036.461009199516,5030.3772472231285,175.18824502143875,104.95215151314244,38.032509896297626
18,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,571.0,3.0,LEDA,,,3.495623965710583,-0.009604313090197113,0.9994343831788853,0.03363540246694133,1.5588216840913705,0.30505997353375536,0.31682638621695935,26.507960877975137,48.02783817211845,49.45393029513133,28.411894358162733,11.279798906980822,11.332260723922154
19,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,306.0,10.0,-7,stars,Tr,3.523262999745165,-0.013815131069134724,0.9999807396803159,0.006206509729486192,0.16620914718069696,0.14133944862946865,0.3081934518426805,240.77248007289555,10081.941314014835,21429.179662645623,236.24354760356312,488.61003941998206,20.009401377682593
20,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,507.0,13.0,-14,stars,dIrr,3.616177347804335,-0.014316226724683858,0.9962159603979407,0.08702216390973014,0.3599003908638058,0.022182225493112828,0.06206965451829871,101.74325231864316,498.55508881029533,1127.8748914183993,55.809815254049944,11.560120006983183,15.65566402813105
21,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,564.0,4.0,LEDA,,,1.855700383231947,-0.01782587632675642,-0.10226661348502666,1.673242043031229,6.821031501766369,0.2470099697168031,0.25978590747355756,917.8964606571932,63.645456923151585,65.72342397308628,818.3746623764648,11.250312309239462,10.830817300252875
22,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,735.0,3.0,LEDA,,,1.8629225556766995,-0.006713646085131142,-0.09522719115258842,1.666168031932735,8.368538836182289,0.3106905292971831,0.3252932028033655,1114.6347033837385,78.07498268901898,80.45655729151251,949.1014056416382,9.82898461835714,9.609524504092064
23,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,314.0,2.0,LEDA,,,1.8930766091634055,0.00320491033531794,-0.06529402957041114,1.6361368403845253,8.713447998139612,0.1826129326634245,0.18645205411927002,1109.718290487408,56.936273082129674,57.587846102553165,557.2208366601686,10.66622598323022,10.806341080805055
24,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,530.0,4.0,LEDA,,,1.9691991444891384,-0.02077110031170619,0.011060050022808663,1.5597360512734462,5.972882108231235,0.08510962318331661,0.0860150349134301,825.8980916807969,37.182532935910544,37.395641853229584,752.9305510834035,9.204608109787614,9.148123264644596
25,UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,272.0,2.0,LEDA,,,2.0155201828370677,0.005118334195966171,0.05703939622880869,1.5137259556517102,8.69756242650401,0.08886262124561561,0.08967286765632743,1318.2096714932304,61.25991497647014,61.5766009738316,460.9073153180498,8.739220430754358,8.86171542740533
26,PGC021614,PGC21614,115.632,16.5612,7.798301105232589,0.1069967023664952,0.1084851747656685,CF4,284.0,4.0,LEDA,,,2.018159120666083,0.005044830012571638,0.059674503481457725,1.5110863491587283,8.526497787329037,0.11896418084855576,0.12044562314004281,1292.5557901331254,67.52498595582747,67.98745516227916,474.02160754690453,11.233625873616518,11.358336281304503
27,UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,350.0,6.0,LEDA,,,2.0814622126359175,0.004383749288150523,0.12270566413884758,1.447780634107508,8.2018109303125,0.11430482243283357,0.11573977652490619,1370.498328541186,88.05737565685152,88.70828113445907,506.7180390959705,12.557405613074025,12.655788370001403
28,ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,859.0,9.0,LEDA,,,2.2525795284891976,-0.008044732824373122,0.29003625534318356,1.2765316055120908,7.873665119037098,0.2359783523938166,0.24396604630788854,1445.0129886922975,340.9479531818657,349.2023037531807,865.049771383102,12.443149674453934,12.24300222428758
