,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_NGC5128_CenA_NGC5236_M83_0.83,angular_distance_CoM_NGC5128_CenA_NGC5236_M83_0.83,dis_center_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_dis_center_min_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_dis_center_max_CoM_NGC5128_CenA_NGC5236_M83_0.83,major_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_major_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_major_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.83,minor_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_minor_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.83,e_minor_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.83
0,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,322.74875595669494,2.0,LEDA,,,2.0,2.415764322892163,0.005976228235311479,0.44495647327258364,1.1096706697748222,7.2815972065945225,0.23092140191152707,0.23092140191152707,6419.188061182994,6191.9052292057295,6191.9052292057295,292.95968291849994,80.2665876155352,80.2665876155352
1,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,361.9355030193232,2.0,LEDA,,,2.0,3.4253779539763154,-0.01220976680511679,0.9950119818843859,0.09992167293407014,2.062922382266,0.6557165461654522,0.6557165461654522,58.398235412824484,5.945523084371987,5.945523084371987,63.93203340603473,13.592006213360657,13.592006213360657
2,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,501.46315827146793,4.0,-7,stars,dSph,4.0,3.459038373930278,-0.012742755904517594,0.9978052523663645,0.06626538950854251,0.4891902138713929,1.2947051010002597,1.2947051010002597,238.86035345578978,33.57771506070971,33.57771506070971,180.21355766005593,46.48698961199509,46.48698961199509
3,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,344.5713239817594,3.0,LEDA,,,3.0,3.495623965710583,-0.009604313090197113,0.9995560451417473,0.02979891647229945,1.7020881985572218,0.5815746195681474,0.5815746195681474,40.524150896301805,6.135515805910132,6.135515805910132,41.136732313922884,7.634081855949681,7.634081855949681
4,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,57.40932932841815,10.0,-7,stars,Tr,10.0,3.523262999745165,-0.013815131069134724,0.9999966843397263,0.0025751357657186153,0.021158831903894393,44.412245955707455,44.412245955707455,277.8174678950704,816.9043701548371,816.9043701548371,219.08795055374338,2978.182910675849,2978.182910675849
5,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,267.8207857080964,13.0,-14,stars,dIrr,13.0,3.616177347804335,-0.014316226724683858,0.9958727340255257,0.09088573218466535,0.3467487085487854,0.7014534411940094,0.7014534411940094,-2373.2524221100844,43109.655932467824,43109.655932467824,23.716241865377476,10.617964336835545,10.617964336835545
6,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,278.68704610944906,4.0,LEDA,,,4.0,1.855700383231947,-0.01782587632675642,-0.09840827828654429,1.6693641353434197,6.715081340563277,0.23813622384585303,0.23813622384585303,516.7187987786356,16.971933275732187,16.971933275732187,425.4176445269019,83.84301111668613,83.84301111668613
7,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,493.0354562113097,3.0,LEDA,,,3.0,1.8629225556766995,-0.006713646085131142,-0.09136906999515172,1.662293006276184,8.276714859514442,0.31268255814213824,0.31268255814213824,650.8683618471687,22.4168138507705,22.4168138507705,601.6373595318678,157.40218496166287,157.40218496166287
8,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,188.80529607802544,2.0,LEDA,,,2.0,1.8930766091634055,0.00320491033531794,-0.06142985962663419,1.632264887747103,8.627417378032735,0.16696589507708026,0.16696589507708026,639.24651046762,16.76651857921709,16.76651857921709,319.760065600407,46.97368486225649,46.97368486225649
9,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,246.7721819663658,4.0,LEDA,,,4.0,1.9691991444891384,-0.02077110031170619,0.014937969731602626,1.555857801457088,5.867563866135985,0.06551359418030306,0.06551359418030306,472.4028125027174,10.689562837885852,10.689562837885852,381.4511552578603,21.224862017276447,21.224862017276447
