,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians
43,"I4247,E444-34",13,26,44.4,-,30,21,45.0,10,1.5,195,10.0,4.97,0.49,rgb,K07,M,201.685,3.5200673018847635,-30.3625,-0.5299255941367783
45,E324-24,13,27,37.4,-,41,28,50.0,10,2.4,270,6.0,3.73,0.43,rgb,CNG,C,201.9058333333333,3.5239215706495837,-41.480555555555554,-0.72397227000087
46,P170257,13,29,21.0,-,21,10,45.0,10,0.2,457,29.0,6.3,,h,CNG,,202.33749999999998,3.531455575254026,-21.179166666666667,-0.36964619116196573
47,N5206,13,33,43.9,-,48,9,4.0,-3,1.1,322,10.0,3.47,0.28,rgb,Sh06,C,203.43291666666667,3.550574202768581,-48.151111111111106,-0.8403954273825139
48,"E270-17,RFGC2603",13,34,47.3,-,45,32,51.0,8,1.0,583,2.0,4.3,0.8,tf,K07,C,203.69708333333332,3.5551847808759325,-45.5475,-0.7949538410521172
49,"E444-78,UA365",13,36,30.8,-,29,14,11.0,10,2.1,363,1.0,5.25,0.43,rgb,K07,M,204.12833333333333,3.562711513275158,-29.23638888888889,-0.5102712475045977
51,"N5236, M83",13,37,0.1,-,29,52,4.0,5,0.8,304,4.0,5.16,0.41,rgb,K07,M,204.25041666666667,3.5648422694036346,-29.86777777777778,-0.5212910624762175
52,DEEP J1337-33,13,37,0.6,-,33,21,47.0,10,1.2,371,5.0,4.51,0.45,rgb,CNG,M,204.2525,3.564878630429718,-33.363055555555555,-0.5822951679702304
53,E444-84,13,37,20.2,-,28,2,46.0,10,1.7,380,4.0,4.61,0.46,rgb,CNG,M,204.33416666666668,3.56630398265218,-28.046111111111113,-0.4894969812690541
54,HIPASS J1337-39,13,37,25.1,-,39,53,52.0,10,-0.3,258,5.0,4.9,0.49,rgb,CNG,,204.35458333333335,3.566660320707796,-39.897777777777776,-0.6963475864512487
55,N5237,13,37,38.9,-,42,50,51.0,-3,2.1,126,5.0,3.4,0.23,rgb,K07,C,204.41208333333333,3.567663885027692,-42.847500000000004,-0.7478299512482705
56,N5253,13,39,55.8,-,31,38,24.0,8,0.0,190,4.0,3.6,0.2,rgb,Sa04,C,204.9825,3.5776195339692762,-31.64,-0.5522221753310059
57,"I4316,E445-06",13,40,18.1,-,28,53,40.0,10,2.4,382,12.0,4.41,0.44,rgb,CNG,M,205.07541666666665,3.579241235732588,-28.894444444444446,-0.5043031910901393
58,N5264,13,41,37.0,-,29,54,50.0,10,2.6,268,3.0,4.53,0.45,rgb,CNG,M,205.40416666666667,3.5849790056485196,-29.913888888888888,-0.5220958531868592
60,KK211,13,42,5.6,-,45,12,18.0,-5,1.5,340,23.0,3.58,0.36,rgb,CNG,C,205.5233333333333,3.587058856340479,-45.205000000000005,-0.7889760883640368
62,E325-11,13,45,0.8,-,41,51,32.0,10,1.1,307,4.0,3.4,0.39,rgb,CNG,C,206.25333333333333,3.599799759880038,-41.85888888888889,-0.730575432337582
