;Name;RAh;RAm;RAs;DE-;DEd;DEm;DEs;RA_degrees;Dec_degrees;T;Theta;Vhelios;VLG;e_VLG;Mag;e_Mag;Dis;e_Dis;f_Dis;Ref;Note;article
57;I4316,E445-06;13;40;18.1;-;28;53;40;205.0754167;-28.89444444;10;2.4;;382;12;;;4.41;0.44;rgb;CNG;M;
58;N5264;13;41;37;-;29;54;50;205.4041667;-29.91388889;10;2.6;;268;3;;;4.53;0.45;rgb;CNG;M;
60;KK211;13;42;5.6;-;45;12;18;205.5233333;-45.205;-5;1.5;;340;23;;;3.58;0.36;rgb;CNG;C;
62;E325-11;13;45;0.8;-;41;51;32;206.2533333;-41.85888889;10;1.1;;307;4;;;3.4;0.39;rgb;CNG;C;
66;E174-01,KKs59;13;47;57.7;-;53;21;4;206.9904167;-53.35111111;10;-1.5;;432;6;;;6;;h;CNG;;
68;HIPASS J1348-37;13;48;33.9;-;37;58;3;207.14125;-37.9675;10;-1.2;;347;3;;;5.75;0.66;rgb;K07;;
69;KK221;13;48;46.4;-;46;59;49;207.1933333;-46.99694444;-3;0.6;;270;33;;;3.98;0.4;rgb;CNG;C;
70;E383-87;13;49;18.8;-;36;3;41;207.3283333;-36.06138889;8;0.5;;108;1;;;3.45;0.27;rgb;K07;C;
71;HIPASS J1351-47;13;51;22;-;47;0;0;207.8416667;-47;10;-1.1;;292;3;;;5.73;0.73;rgb;K07;;
72;KKH86;13;54;33.6;+;4;14;35;208.64;4.243055556;10;-1.5;;209;3;;;2.61;0.16;rgb;CNG;;
73;E384-016;13;57;1.6;-;35;20;2;209.2566667;-35.33388889;10;-0.3;;350;32;;;4.53;0.31;rgb;K07;;
74;N5408;14;3;21.5;-;41;22;35;210.8395833;-41.37638889;10;-0.5;;288;7;;;4.81;0.48;rgb;CNG;;
75;Circinus,E97-13;14;13;9.3;-;65;20;21;213.28875;-65.33916667;3;-0.7;;204;10;;;2.82;0.28;tfi;K07;;
76;DDO187;14;15;56.5;+;23;3;19;213.9854167;23.05527778;10;-1.3;;172;4;;;2.28;0.23;rgb;T06;;
77;P51659;14;28;3.7;-;46;18;6;217.0154167;-46.30166667;10;0.1;;175;2;;;3.58;0.33;rgb;CNG;C;
78;E222-10;14;35;3;-;49;25;18;218.7625;-49.42166667;10;-1.4;;405;5;;;5.8;;h;CNG;;
79;HIPASS;14;41;27;-;62;41;55;220.3625;-62.69861111;10;;;441;3;;;6.1;;h;M04;;
80;E272-25;14;43;25.5;-;44;42;19;220.85625;-44.70527778;8;-1.5;;422;10;;;5.9;;h;CNG;;
81;E223-09;15;1;8.5;-;48;17;33;225.2854167;-48.2925;10;-0.8;;387;6;;;6.49;0.51;rgb;K07;;
82;E274-01;15;14;13.5;-;46;48;45;228.55625;-46.8125;7;-0.8;;335;5;;;3.09;0.23;rgb;K07;;
83;HIPASS J1526-51;15;26;17;-;51;10;4;231.5708333;-51.16777778;;;;416;;;;5.8;;h;M04;;
84;E137-18;16;20;59.3;-;60;29;15;245.2470833;-60.4875;9;-1.8;;420;3;;;6.4;0.48;rgb;K07;;
