Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians,cos_theta,angular_distance,dis_center,minor_infall_velocity,major_infall_velocity,major_infall_velocity_bis
"GR8,DDO155",12.0,58.0,40.4,+,14.0,13.0,3.0,10,-1.2,136,3.0,2.1,0.34,rgb,CNG,,194.66833333333335,3.397603366036495,14.2175,0.2481421864022938,0.706576936351795,0.7861471966933237,3.965181538767664,228.82025554390182,202.1129469361666,224.2494395031716
UA319,13.0,2.0,14.4,-,17.0,14.0,15.0,9,2.1,547,5.0,7.6,,h,CNG,,195.56,3.4131658852001108,-17.2375,-0.30085112981252254,0.9662926134028994,0.2603784631824007,2.9321217139784266,261.22289370202634,284.0746035903156,301.5093398266433
DDO161,13.0,3.0,16.8,-,17.0,25.0,23.0,8,1.4,545,5.0,7.6,,h,CNG,,195.82000000000002,3.4177037412552966,-17.423055555555557,-0.30408968520233426,0.96756411558798,0.2553928928463466,2.91506625760094,258.7234713867901,280.46469788953857,296.7875512802286
"KK182,Cen6",13.0,5.0,2.9,-,40.0,4.0,58.0,10,-0.5,360,3.0,5.78,0.42,rgb,K07,,196.26208333333332,3.425419550990154,-40.08277777777778,-0.6995764455674383,0.9777109625484199,0.21152935185067834,1.3091723218781284,88.06222643905546,111.81380907136221,127.87601581080068
N4945,13.0,5.0,26.1,-,49.0,28.0,16.0,6,0.7,296,5.0,3.82,0.31,rgb,G05,C,196.35875000000001,3.427106702600416,-49.471111111111114,-0.8634337735088392,0.9367010987832587,0.35770993778485377,2.0714716033117306,87.33306190543749,-22.981834208823045,35.01314017066466
P45628,13.0,9.0,36.6,-,27.0,8.0,26.0,10,-0.6,470,32.0,6.5,,h,CNG,,197.4025,3.4453235766681063,-27.140555555555554,-0.4736920552648832,0.9933622362890884,0.11528330368917888,1.4969506303575832,168.11117250029127,183.019329885705,188.01159863747725
E269-058,13.0,10.0,32.9,-,46.0,59.0,27.0,10,1.9,135,3.0,3.8,0.29,rgb,K07,C,197.63708333333335,3.449417828205077,-46.990833333333335,-0.8201447599225687,0.9517386730556587,0.3119442076047288,1.9344808599335606,165.01084701685528,268.7248274753473,219.9899434507736
"E269-66,KK190",13.0,13.0,9.2,-,44.0,53.0,24.0,-1,1.7,528,31.0,3.82,0.26,rgb,K07,C,198.28833333333336,3.46078428495869,-44.89,-0.7834783012202545,0.9625021907493196,0.27471632216642156,1.8093793508836202,-85.3621506461036,-371.4980328483903,-249.10125806988904
N5068,13.0,18.0,55.3,-,21.0,2.0,21.0,6,-1.4,473,5.0,6.6,,h,CNG,,199.73041666666668,3.4859533872134914,-21.039166666666667,-0.36720273020917366,0.9856346401784063,0.1697049564107821,1.747012704066112,175.86815690596447,200.03264019772402,210.65783133667702
KK195,13.0,21.0,8.2,-,31.0,31.0,47.0,10,0.0,338,5.0,5.22,0.52,rgb,CNG,M,200.28416666666666,3.4956181479464097,-31.529722222222222,-0.550297465017001,0.9978090438778069,0.06620810581909439,0.3487516059962847,26.775467250120208,169.55030195990167,238.84931027112495
