Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG
KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,255.9270951543958,5.0,-7,stars,dSph,5.0
UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,CF4,374.551093721425,12.0,LEDA,,,12.0
UGC05373,PGC28913,150.0001,5.3322,1.3995873225726183,0.0192030579697339,0.0194701991164747,CF4,111.89936479366617,2.0,LEDA,,,2.0
PGC029033,PGC29033,150.4092,-8.2485,9.727472237769655,1.097686760099954,1.2373097236622073,CF4,202.20693400480778,3.0,LEDA,,,3.0
NGC3109,PGC29128,150.7786,-26.1595,1.3061708881318403,0.0530297131904253,0.0552737943341083,CF4,109.57324371604147,2.0,LEDA,,,2.0
PGC029194,PGC29194,151.0165,-27.332,1.3365955165464416,0.0601567077350992,0.0629918060261767,CF4,65.34599654157512,3.0,LEDA,,,3.0
UGC05456,PGC29428,151.8324,10.362,10.28016298126473,0.9904991134653685,1.0961098769695674,CF4,375.3594626295077,3.0,LEDA,,,3.0
PGC029653,PGC29653,152.7533,-4.6928,1.4125375446227544,0.0510928621568034,0.053010296333156,CF4,94.03202720967798,1.0,LEDA,,,1.0
PGC3097113,PGC3097113,207.8286,-46.9735,5.597576014951097,0.3009415760345248,0.3180403268036409,CF4,291.28721398120115,5.0,LEDA,,,5.0
PGC3097708,PGC3097708,189.3995,-8.8671,9.549925860214357,0.429817466655269,0.4500741397856451,CF4,917.490311350293,5.0,LEDA,,,5.0
UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,CF4,507.48760181177454,2.0,LEDA,,,2.0
ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.3186280899215647,CF4,364.46306419038063,6.0,LEDA,,,6.0
NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.1334659226103234,0.1353226185424603,CF4,624.0546821630431,2.0,LEDA,,,2.0
NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.4431178839785694,0.4618694937467449,CF4,739.3049155288525,2.0,LEDA,,,2.0
NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.0933850197743204,0.0942491007235659,CF4,541.8622481604492,11.0,LEDA,,,11.0
ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.123399049900728,0.1256932095229395,CF4,409.4999110311934,7.0,LEDA,,,7.0
NGC3379,PGC32256,161.9566,12.5816,11.066237839776658,0.1014558783448134,0.102394638028942,CF4,759.1833558135661,6.0,LEDA,,,6.0
NGC3384,PGC32292,162.0705,12.6294,9.204495717531715,0.0843873239726136,0.0851681502676466,CF4,414.52890153064743,6.0,LEDA,,,6.0
NGC3621,PGC34554,169.5687,-32.814,6.8233869414167,0.2770252007439451,0.2887481951165949,CF4,438.1185984775583,3.0,LEDA,,,3.0
NGC3627,PGC34695,170.0625,12.991,11.015393095414156,0.4957743571819328,0.5191394827967795,CF4,584.4903960939342,2.0,LEDA,,,2.0
ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.1069822717687163,0.1089712206980788,CF4,362.1827864744439,4.0,LEDA,,,4.0
ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.1687961468503775,0.1743261459083047,CF4,364.5552165369644,3.0,LEDA,,,3.0
ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.3857982310378318,CF4,871.5065883944192,4.0,LEDA,,,4.0
ESO379-024,PGC38252,181.2362,-35.7431,5.345643593969718,0.2405935942156567,0.2519324209813893,CF4,355.49713053756994,6.0,LEDA,,,6.0
ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,CF4,334.83817945052454,3.0,LEDA,,,3.0
IC3104,PGC39573,184.692,-79.7259,2.301441817408507,0.0210997454080899,0.0212949789485978,CF4,170.2163054273379,4.0,LEDA,,,4.0
HIPASSJ1247-77,PGC3994669,191.8908,-77.5826,3.388441561392023,0.2551558370764417,0.2759341850863102,CF4,153.80087704155716,4.0,LEDA,,,4.0
NGC4298,PGC39950,185.3867,14.6061,14.521116175877411,1.27770082393077,1.4009710946342704,CF4,1029.6399299357238,5.0,LEDA,,,5.0
PGC040045,PGC40045,185.5317,15.7992,9.078205301781855,1.0244208897911982,1.1547246210256912,CF4,1205.550487550194,2.0,LEDA,,,2.0
NGC4328,PGC40209,185.8333,15.8205,14.521116175877411,1.5194203955445076,1.6969847977118668,CF4,386.3495026105897,10.0,LEDA,,,10.0
UGC07512,PGC40563,186.4212,2.1593,11.587773561551264,0.4191410837456395,0.4348707846228556,CF4,1352.9823866604595,2.0,LEDA,,,2.0
NGC4413,PGC40705,186.6342,12.6106,14.723125024327189,0.2687273168679063,0.273723330696539,CF4,-10.63572754312996,4.0,LEDA,,,4.0
6dFJ0956376-092911,PGC4078671,149.1567,-9.4863,9.162204901219992,0.4525690016591888,0.4760853350197056,CF4,372.585703880873,41.0,LEDA,,,41.0
NGC4455,PGC41066,187.1837,22.8215,6.456542290346557,0.2621315395787409,0.2732242724966216,CF4,586.8174603145833,3.0,LEDA,,,3.0
PGC041395,PGC41395,187.7652,1.6758,9.204495717531715,0.5747102398620143,0.6129837126681341,CF4,954.300795500947,4.0,LEDA,,,4.0
NGC4437,PGC41618,188.1895,0.1146,8.165823713585919,0.4390178626289032,0.4639617640837823,CF4,971.9534132923036,2.0,LEDA,,,2.0
PGC042120,PGC42120,189.3085,-10.4979,9.594006315159332,0.3043424473599696,0.314313133768346,CF4,562.4539150109454,8.0,LEDA,,,8.0
NGC4592,PGC42336,189.8281,-0.532,8.669618757582173,0.3519810465554585,0.3668759796408452,CF4,913.540450785043,2.0,LEDA,,,2.0
NGC4594,PGC42407,189.9976,-11.623,9.120108393559102,0.3298832252502475,0.3422632200988236,CF4,891.2959455963941,5.0,LEDA,,,5.0
NGC4600,PGC42447,190.0958,3.1177,9.078205301781855,0.2879801334730167,0.297414767476944,CF4,713.2988929334658,30.0,LEDA,,,30.0
ESO381-018,PGC42936,191.1772,-35.9666,5.321082592667939,0.1211226273327836,0.1239439357562721,CF4,362.72407051028983,8.0,LEDA,,,8.0
ESO381-020,PGC43048,191.5017,-33.8381,5.345643593969718,0.1216817039785205,0.1245160349700009,CF4,335.3851605115155,3.0,LEDA,,,3.0
PGC043072,PGC43072,191.5638,10.2055,9.418895965228415,0.9075155832046456,1.0042783287046235,CF4,1031.9282546517231,2.0,LEDA,,,2.0
SDSSJ124936.90+215505.7,PGC4343356,192.4035,21.9178,6.338697112569274,0.2852883650301372,0.2987335914498237,CF4,491.08195181908036,4.0,LEDA,,,4.0
PGC043851,PGC43851,193.4868,-12.1059,8.953647655495944,0.5590477903019657,0.5962782047184252,CF4,634.8316892688551,2.0,LEDA,,,2.0
ESO443-009,PGC43978,193.7232,-28.3408,5.834451042737443,0.2881939131583388,0.3031690089104923,CF4,407.5512652825407,4.0,LEDA,,,4.0
PGC044055,PGC44055,193.9185,19.2092,4.720630412635907,0.149748516487155,0.1546544883979592,CF4,362.2979751987631,4.0,LEDA,,,4.0
NGC4826,PGC44182,194.1825,21.682,4.30526610491711,0.0590704654539804,0.0598922174845553,CF4,363.5384530831522,4.0,LEDA,,,4.0
UGC08091,PGC44491,194.6678,14.2173,2.137962089502231,0.1056050785660098,0.1110925163335481,CF4,138.35590541530493,2.0,LEDA,,,2.0
PGC044681,PGC44681,194.9857,-19.4114,7.112135136533295,0.2887481951165949,0.3009672764758857,CF4,619.1440888098103,2.0,LEDA,,,2.0
PGC044982,PGC44982,195.5598,-17.2378,5.623413251903491,0.1783867234792797,0.1842309233096299,CF4,549.4505821792959,2.0,LEDA,,,2.0
PGC045084,PGC45084,195.8199,-17.4229,5.888436553555893,0.2390668054328637,0.2491834980920524,CF4,546.5745310070763,2.0,LEDA,,,2.0
ESO269-037,PGC45104,195.8883,-46.5869,3.07609681474071,0.0975803853115189,0.1007772559090631,CF4,481.4448467815048,6.0,LEDA,,,6.0
NGC4945,PGC45279,196.3638,-49.4679,3.388441561392023,0.0464911611308842,0.0471379176067228,CF4,299.57034892643287,3.0,LEDA,,,3.0
