HYPERLEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 Individual Distances","All CF4 Individual Distances"
pgc,v,e_v,RA2000,DEC2000,DMtrgb,eDMt
%7s,%8.0f,%8.0f,%12s,%12s,%5.2f,%4.2f
---,km/s,km/s,h,deg,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Right Ascension (J2000)","Declination (J2000)","Distance modulus from TRGB measures, CF4 zero point","Error of measured TRGB modulus"
39600,454,6,121857.6,+471813.8,29.40,0.08
166127,0,0,121906.2,+474349.8,29.34,0.09
39615,272,20,121909.3,+470525.4,29.26,0.02
166130,215,40,121934.7,+580238.2,28.64,0.11
39918,461,3,122115.2,+454843.1,29.26,0.02
166135,572,5,122252.7,+334944.7,29.46,0.09
166137,482,4,122528.3,+282856.8,28.84,0.08
40596,318,2,122548.9,+333248.3,28.34,0.01
40665,281,2,122617.0,+482939.0,28.73,0.05
40750,300,2,122652.7,+530619.3,28.88,0.09
40791,217,4,122705.0,+370835.8,28.43,0.07
86635,603,1,122804.9,+221727.0,28.95,0.09
40973,204,3,122811.0,+440534.9,28.10,0.01
41020,288,10,122828.1,+371405.4,28.32,0.07
41048,309,2,122838.7,+354303.3,28.33,0.14
41066,643,3,122844.1,+224917.3,29.05,0.09
41093,412,6,122852.3,+421040.6,29.60,0.15
41314,436,2,123023.7,+425405.4,29.52,0.07
41326,483,4,123031.3,+414203.4,29.70,0.58
5808780,624,8,123034.0,+231220.0,29.14,0.09
41333,587,2,123036.4,+413837.2,29.20,0.23
41522,682,6,123200.2,+394956.5,29.74,0.07
41636,331,1,123254.4,+313227.7,28.39,0.05
41749,648,1,123352.7,+393733.3,29.94,0.09
42002,814,3,123557.7,+275734.8,29.68,0.08
42115,786,5,123713.9,+293750.8,29.58,0.17
42120,756,8,123714.1,-102952.3,29.91,0.07
42134,454,5,123721.8,+384437.6,28.89,0.08
42275,308,2,123840.0,+324600.8,27.88,0.18
42380,554,3,123939.0,+444912.8,29.74,0.10
42408,146,3,123959.4,+613632.5,28.67,0.02
42447,852,30,124023.0,+030703.6,29.79,0.07
4074723,229,132,124029.9,+472203.9,29.36,0.13
42575,537,3,124132.8,+410856.1,29.37,0.06
42620,544,22,124159.8,+323425.0,29.15,0.27
42656,355,4,124215.1,+383009.4,28.25,0.08
2832120,735,55,124324.6,+322856.1,29.35,0.09
42832,446,3,124345.4,+535735.7,29.88,0.12
5056993,402,6,124355.7,+412724.6,28.36,0.11
166142,295,4,124357.4,+433941.6,28.13,0.11
42936,620,8,124442.5,-355759.7,28.63,0.05
43129,332,2,124659.8,+362835.1,27.34,0.08
3994669,413,4,124733.8,-773457.4,27.65,0.17
43255,467,6,124822.9,+510957.2,29.02,0.10
166146,0,0,124913.1,+353645.8,28.16,0.16
4343356,539,4,124936.8,+215505.4,29.01,0.10
43495,314,1,125053.0,+410712.0,28.17,0.04
43851,823,2,125356.8,-120621.2,29.76,0.14
43869,375,1,125405.4,+270859.1,27.98,0.04
43978,643,4,125453.6,-282027.0,28.83,0.11
